"","Participant","trialNumber","Sort","Condition","ClipStart","ClipStop","RecordingStart","ETClipStart","ETClipStop"
"55","P02",14,"P02 GemsCued","GemsCued",1460.5224343,1488.9178642,1105,355.522434300001,383.917864200004
"56","P02",15,"P02 GemsCued","GemsCued",1496.6763739,1527.32334079999,1105,391.676373900002,422.323340799994
"57","P02",16,"P02 Tablet","Tablet",1899.0331038,1945.7971432,1829,70.0331038000004,116.797143200005
"58","P02",17,"P02 Tablet","Tablet",1957.5259984,1993.5621135,1829,128.5259984,164.562113499996
"59","P02",18,"P02 Tablet","Tablet",2012.5147304,2036.7725361,1829,183.514730399998,207.772536100005
"60","P02",19,"P02 Tablet","Tablet",2044.64722319999,2072.27679219999,1829,215.647223199994,243.276792199991
"61","P02",20,"P02 Tablet","Tablet",2081.06745649999,2106.1430706,1829,252.067456499994,277.143070599996
"62","P02",21,"P02 Tablet","Tablet",2115.28530999999,2144.5484017,1829,286.285309999992,315.548401699998
"63","P02",22,"P02 Tablet","Tablet",2151.12165669999,2185.85679190001,1829,322.121656699994,356.856791900005
"64","P02",23,"P02 Tablet","Tablet",2206.4943876,2235.52371720001,1829,377.494387600003,406.523717200005
"65","P02",24,"P02 GemsTablet","GemsTablet",2487.5289113,2510.0016666,2404,83.5289113000035,106.001666600001
"66","P02",25,"P02 GemsTablet","GemsTablet",2520.21203909999,2555.93151379999,2404,116.212039099992,151.931513799995
"67","P02",26,"P02 GemsTablet","GemsTablet",2564.0731158,2596.3891568,2404,160.073115799998,192.389156799996
"68","P02",27,"P02 GemsTablet","GemsTablet",2605.01524369999,2645.1217687,2404,201.015243699992,241.121768700003
"69","P02",28,"P02 GemsTablet","GemsTablet",2653.1132714,2677.03766279999,2404,249.113271399998,273.037662799994
"70","P02",29,"P02 GemsTablet","GemsTablet",2683.8110845,2710.9550689,2404,279.811084500005,306.955068900003
"71","P02",30,"P02 GemsTablet","GemsTablet",2720.51482329999,2763.9087005,2404,316.514823299993,359.908700500004
"72","P02",31,"P02 GemsTablet","GemsTablet",2769.4643369,2829.6586006,2404,365.464336899997,425.6586006
"73","P02",32,"P02 GemsBasic","GemsBasic",3078.0601068,3118.7512599,2987,91.060106799996,131.751259900004
"74","P02",33,"P02 GemsBasic","GemsBasic",3126.0419561,3186.736854,2987,139.041956100002,199.736854000002
